camera,payload,payload_bytes,stage,bytes_per_frame,stage_factor,cumulative_efficiency
webcam+tear/3,blob-1024KB,1048576,bit-packing remainder,8748.000,1.000000,0.720000
webcam+tear/3,blob-1024KB,1048576,frames dropped on CRC,5832.000,0.666667,0.480000
webcam+tear/3,blob-1024KB,1048576,RaptorQ FEC payload id,5829.333,0.999543,0.479781
webcam+tear/3,blob-1024KB,1048576,fountain surplus packets,5829.333,1.000000,0.479781
webcam+tear/3,blob-1024KB,1048576,symbol padding,5826.822,0.999569,0.479574
webcam+tear/3,blob-1024KB,1048576,gzip gain -> file bytes,5825.422,0.999760,0.479459
good_handheld,text-8192KB,8388608,raw cell bits on screen,12150.000,1.000000,1.000000
good_handheld,text-8192KB,8388608,fiducials + margin,8991.000,0.740000,0.740000
good_handheld,text-8192KB,8388608,calibration strip,8910.000,0.990991,0.733333
good_handheld,text-8192KB,8388608,header band,8748.000,0.981818,0.720000
good_handheld,text-8192KB,8388608,bit-packing remainder,8748.000,1.000000,0.720000
good_handheld,text-8192KB,8388608,frames dropped on CRC,8748.000,1.000000,0.720000
good_handheld,text-8192KB,8388608,RaptorQ FEC payload id,8744.000,0.999543,0.719671
good_handheld,text-8192KB,8388608,fountain surplus packets,8744.000,1.000000,0.719671
good_handheld,text-8192KB,8388608,symbol padding,8549.881,0.977800,0.703694
good_handheld,text-8192KB,8388608,gzip gain -> file bytes,23831.273,2.787322,1.961422
webcam_handheld,text-8192KB,8388608,raw cell bits on screen,12150.000,1.000000,1.000000
webcam_handheld,text-8192KB,8388608,fiducials + margin,8991.000,0.740000,0.740000
webcam_handheld,text-8192KB,8388608,calibration strip,8910.000,0.990991,0.733333
webcam_handheld,text-8192KB,8388608,header band,8748.000,0.981818,0.720000
webcam_handheld,text-8192KB,8388608,bit-packing remainder,8748.000,1.000000,0.720000
webcam_handheld,text-8192KB,8388608,frames dropped on CRC,8748.000,1.000000,0.720000
webcam_handheld,text-8192KB,8388608,RaptorQ FEC payload id,8744.000,0.999543,0.719671
webcam_handheld,text-8192KB,8388608,fountain surplus packets,8744.000,1.000000,0.719671
webcam_handheld,text-8192KB,8388608,symbol padding,8549.881,0.977800,0.703694
webcam_handheld,text-8192KB,8388608,gzip gain -> file bytes,23831.273,2.787322,1.961422
potato_handheld,text-8192KB,8388608,raw cell bits on screen,1944.000,1.000000,1.000000
potato_handheld,text-8192KB,8388608,fiducials + margin,1276.125,0.656443,0.656443
potato_handheld,text-8192KB,8388608,calibration strip,1245.000,0.975610,0.640432
potato_handheld,text-8192KB,8388608,header band,1182.750,0.950000,0.608410
potato_handheld,text-8192KB,8388608,bit-packing remainder,1182.000,0.999366,0.608025
potato_handheld,text-8192KB,8388608,frames dropped on CRC,1182.000,1.000000,0.608025
potato_handheld,text-8192KB,8388608,RaptorQ FEC payload id,1178.000,0.996616,0.605967
potato_handheld,text-8192KB,8388608,fountain surplus packets,1178.000,1.000000,0.605967
potato_handheld,text-8192KB,8388608,symbol padding,1172.403,0.995249,0.603088
potato_handheld,text-8192KB,8388608,gzip gain -> file bytes,3267.864,2.787322,1.681000
